county,license_number,operation_type,establishment_type,entity_name,dba_name,street_number,street_name,address_line_2,address_line_3,city,state,zip_code,square_footage,location,geom,borough,street_name_normalized
Bronx,731794,Store,JAC   ,GOLDEN DELI FOOD CORP            ,GOLDEN DELI FOOD       ,267,E TREMONT AVE                ,             ,               ,BRONX             ,NY,10457,0,"267 E TREMONT AVE
BRONX, NY 10457
(40.848725, -73.903462)",0101000020E61000003534A831D67952C05A1343DDA46C4440,Bronx,
New York,734607,Store,JAC   ,WESTFIELD MARKETPLACE CORP       ,WESTFIELD MARKETPLACE  ,686,10TH AVENUE                  ,             ,               ,NEW YORK          ,NY,10019,0,"686 10TH AVENUE
NEW YORK, NY 10019
(40.763531, -73.992636)",0101000020E61000008FEDD41B877F52C0D1F5BF0BBB614440,Manhattan,
Bronx,709732,Store,JAC   ,305 GROCERY DELI STORE           ,305 GROCERY DELI       ,305,EAST 181ST ST                ,             ,               ,BRONX             ,NY,10457,0,"305 EAST 181ST ST
BRONX, NY 10457
(40.854013, -73.899081)",0101000020E610000027FBB1098C7952C09D785E54516D4440,Bronx,
Bronx,734126,Store,JAC   ,SAMMY 1 DELI GROCERY CORP        ,SAMMY 1 DELI GROCERY   ,51,W 183RD STREET                ,             ,               ,BRONX             ,NY,10453,0,"51 W 183RD STREET
BRONX, NY 10453
(40.85904, -73.905842)",0101000020E61000007E3C09E7F97952C00A631990F56D4440,Bronx,
New York,730401,Store,JAC   ,MCFADDEN REGINA                  ,SHADEESHAS SWEETS      ,1580,PARK AVE                    ,             ,               ,NEW YORK          ,NY,10029,0,"1580 PARK AVE
NEW YORK, NY 10029
(40.796807, -73.945259)",0101000020E6100000FCA28A7F747C52C082C122B812664440,Manhattan,
New York,715188,Store,JAC   ,EIGHTH AVENUE GOURMET DELI INC   ,EIGHTH AVENUE GOURMET D,134,8TH AVE                      ,             ,               ,NEW YORK          ,NY,10011,0,"134 8TH AVE
NEW YORK, NY 10011
(40.741467, -74.001264)",0101000020E6100000B0B41458158052C0B3FD7B96E65E4440,Manhattan,
Kings,713125,Store,JAC   ,GOLD STAR DELI & GRILL CORP      ,GOLD STAR DELI & GRILL ,1565,BROADWAY                    ,             ,               ,BROOKLYN          ,NY,11207,0,"1565 BROADWAY
BROOKLYN, NY 11207
(40.685887, -73.91572)",0101000020E6100000E2FB79939A7A52C04A4066CDCA574440,Brooklyn,
New York,724357,Store,JAC   ,FRESH SUPERETTE INC              ,FRESH SUPERETTE        ,804,W 181ST STREET               ,             ,               ,NEW YORK          ,NY,10033,0,"804 W 181ST STREET
NEW YORK, NY 10033
(40.850992, -73.938591)",0101000020E610000084685266117C52C093686CE0EC6C4440,Manhattan,
Queens,705865,Store,A     ,CVS ALBANY LLC                   ,CVS/PHARMACY #2280     ,329-339,WYCKOFF AVE          ,             ,               ,RIDGEWOOD         ,NY,11385,0,"329 339 WYCKOFF AVE
RIDGEWOOD, NY 11385
(40.69967, -73.9113)",0101000020E6100000C0E9C59F547A52C03D7BD02A91594440,Queens,
Queens,719506,Store,JAC   ,LA FINQUITA CARNICERIA CORP      ,LA FINQUITA CARNICERIA ,1507,COLLEGE POINT BLVD          ,             ,               ,COLLEGE POINT     ,NY,11356,0,"1507 COLLEGE POINT BLVD
COLLEGE POINT, NY 11356
(40.783923, -73.845816)",0101000020E61000009DD64FB1217652C0CB08BF7A5B644440,Queens,
New York,628456,Store,JAC   ,FAMILY FRUIT AND MEAT MARKET CORP,SANTIAGO DELI GROCERY  ,1474,ST NICHOLAS AVE             ,             ,               ,NEW YORK          ,NY,10033,0,"1474 ST NICHOLAS AVE
NEW YORK, NY 10033
(40.850944, -73.932542)",0101000020E6100000CD3C9070AE7B52C0347AF122EC6C4440,Manhattan,
Queens,732681,Store,JAC   ,JHILAM INC                       ,JHILAM                 ,45-01,QUEENS BLVD                ,             ,               ,SUNNYSIDE         ,NY,11104,0,"45 01 QUEENS BLVD
SUNNYSIDE, NY 11104
(40.743798, -73.925733)",0101000020E610000059A361E3D87A52C0BE7D4801235F4440,Queens,
Kings,706401,Store,A     ,STAR BRITE FLATBUSH INC          ,STAR BRITE FLATBUSH    ,1508,FLATBUSH AVE                ,             ,               ,BROOKLYN          ,NY,11210,0,"1508 FLATBUSH AVE
BROOKLYN, NY 11210
(40.634044, -73.948954)",0101000020E6100000DA1ABB8BBA7C52C0E123EC6027514440,Brooklyn,
Kings,716937,Store,JAC   ,ANAH MINIMARKET CORP             ,ANAH MINIMARKET        ,382,RALPH AVE                    ,             ,               ,BROOKLYN          ,NY,11233,0,"382 RALPH AVE
BROOKLYN, NY 11233
(40.675784, -73.921938)",0101000020E61000004C502707017B52C0C743D1D782564440,Brooklyn,
Kings,715562,Store,JAC   ,NEVINS DELI & GRILL INC          ,NEVINS DELI & GRILL    ,26,NEVINS ST                     ,             ,               ,BROOKLYN          ,NY,11217,0,"26 NEVINS ST
BROOKLYN, NY 11217
(40.688094, -73.981287)",0101000020E610000054D2ECBDCD7E52C04818A1B713584440,Brooklyn,
New York,731525,Store,JAC   ,ROCS CHOCS LLC                   ,HOT BREAD KITCHEN      ,1580,PARK AVENUE                 ,             ,               ,NEW YORK          ,NY,10029,0,"1580 PARK AVENUE
NEW YORK, NY 10029
(40.796807, -73.945259)",0101000020E6100000FCA28A7F747C52C082C122B812664440,Manhattan,
Kings,733791,Store,JAC   ,1949 FOOD CORP                   ,FOODTOWN               ,1949,STILLWELL AVENUE            ,             ,               ,BROOKLYN          ,NY,11223,0,"1949 STILLWELL AVENUE
BROOKLYN, NY 11223
(40.598798, -73.985649)",0101000020E610000010F273E4157F52C058F79118B24C4440,Brooklyn,
Kings,733172,Store,JAC   ,GARDEN DELI & GRILL INC          ,GARDEN DELI & GRILL    ,222,HOYT ST                      ,             ,               ,BROOKLYN          ,NY,11217,0,"222 HOYT ST
BROOKLYN, NY 11217
(40.683561, -73.989828)",0101000020E6100000E39560C4597F52C062E260457E574440,Brooklyn,
Kings,734093,Store,JAC   ,NATHANS FARM INC                 ,NATHANS FARM           ,829,MANHATTAN AVENUE             ,             ,               ,BROOKLYN          ,NY,11222,0,"829 MANHATTAN AVENUE
BROOKLYN, NY 11222
(40.728563, -73.953502)",0101000020E6100000A6D63080067D52C006F6715C415D4440,Brooklyn,
Richmond,733553,Store,A     ,ALPHONSO WHITE JR                ,ELIZABETH DISCOUNT STOR,1149,CASTLETON AVE               ,             ,               ,STATEN ISLAND     ,NY,10310,0,"1149 CASTLETON AVE
STATEN ISLAND, NY 10310
(40.634253, -74.120743)",0101000020E6100000238A9C08BA8752C08CC6427A2F514440,Staten Island,
New York,728586,Store,JAC   ,CASEYS KRUNCH LLC                ,CASEYS KRUNCH          ,1590,PARK AVENUE                 ,             ,               ,NEW YORK          ,NY,10029,0,"1590 PARK AVENUE
NEW YORK, NY 10029
(40.797763, -73.944561)",0101000020E6100000D6174486677C52C04906431035664440,Manhattan,
Kings,715286,Store,A     ,DOLLAR TREE STORES INC           ,DEALS #5249            ,2244,CHURCH AVE                  ,             ,               ,BROOKLYN          ,NY,11226,0,"2244 CHURCH AVE
BROOKLYN, NY 11226
(40.650476, -73.957093)",0101000020E610000024B273014D7D52C0BDDC591341534440,Brooklyn,
Kings,725056,Store,JAC   ,Y & R GROCERY&DELI CORP          ,Y & R GROCERY&DELI     ,5016,CHURCH AVE                  ,             ,               ,BROOKLYN          ,NY,11203,0,"5016 CHURCH AVE
BROOKLYN, NY 11203
(40.651817, -73.929851)",0101000020E610000016E2EB0C877B52C0F6E08D836D534440,Brooklyn,
New York,727217,Store,JAC   ,96 DELI CORP                     ,96 DELI                ,214,WEST 96TH STREET             ,             ,               ,NEW YORK          ,NY,10025,0,"214 WEST 96TH STREET
NEW YORK, NY 10025
(40.794347, -73.971062)",0101000020E610000092C9EBB9237E52C0D70EBBF9AA654440,Manhattan,
Kings,728705,Store,JAC   ,H & A SUTTER DELI INC            ,H & A SUTTER DELI      ,976,SUTTER AVE                   ,             ,               ,BROOKLYN          ,NY,11208,0,"976 SUTTER AVE
BROOKLYN, NY 11208
(40.671244, -73.882618)",0101000020E6100000399FDD097D7852C011A016EBEA554440,Brooklyn,
Bronx,728657,Store,JAC   ,MOJALI DELI & GROCERY INC        ,MOJALI DELI & GROCERY  ,664,E 187TH STREET               ,             ,               ,BRONX             ,NY,10458,0,"664 E 187TH STREET
BRONX, NY 10458
(40.854542, -73.885514)",0101000020E61000007D239BA3AE7852C03D26B49F636D4440,Bronx,
New York,707583,Store,JAC   ,135 W 3RD ST RETAIL CORP         ,7 ELEVEN STORE #36799A ,135,W 3RD ST                     ,             ,               ,NEW YORK          ,NY,10012,0,"135 W 3RD ST
NEW YORK, NY 10012
(40.730833, -74.000944)",0101000020E61000004E0ECAF40E8052C0E2DD6FC78B5D4440,Manhattan,
Kings,731345,Store,JAC   ,MUNCHIEZ FOOD CORP               ,MUNCHIEZ FOOD          ,967,LENOX ROAD                   ,             ,               ,BROOKLYN          ,NY,11212,0,"967 LENOX ROAD
BROOKLYN, NY 11212
(40.656228, -73.92334)",0101000020E6100000D67773711A7B52C07743B733FC534440,Brooklyn,
New York,721674,Store,JAC   ,GOLDEN OWL BROTHERS INC          ,GOLDEN SUSHI @ KEY FOOD,1175,3RD AVENUE              ,             ,               ,NEW YORK          ,NY,10065,0,"1175 3RD AVENUE
NEW YORK, NY 10065
(40.767496, -73.962232)",0101000020E6100000B7968051967D52C0CB76C4343A624440,Manhattan,
Kings,714034,Store,A     ,WILDLIFE CONSERVATION SOCIETY    ,PROSPECT PARK ZOO      ,450,FLATBUSH AVE             ,             ,               ,BROOKLYN          ,NY,11225,0,"450 FLATBUSH AVE
BROOKLYN, NY 11225
(40.663365, -73.962577)",0101000020E6100000F5C3A825B67D52C0E679579136554440,Brooklyn,
Richmond,641367,Store,A     ,WALGREEN EASTERN CO INC          ,WALGREENS #10475       ,2270,CLOVE RD                    ,             ,               ,STATEN ISLAND     ,NY,10305,0,"2270 CLOVE RD
STATEN ISLAND, NY 10305
(40.599006, -74.081607)",0101000020E6100000FB5A2834388552C00F69FE96AC4C4440,Staten Island,
New York,734598,Store,JAC   ,JUICE PRESS LLC THE              ,JUICE PRESS            ,14,WALL ST                       ,             ,               ,NEW YORK          ,NY,10005,0,"14 WALL ST
NEW YORK, NY 10005
(40.707301, -74.010996)",0101000020E6100000FDC7F32DB48052C0327CA8528A5A4440,Manhattan,
New York,724374,Store,JAC   ,OLIVE OASIS DELI CAFE CORP       ,OLIVE OASIS DELI CAFE  ,1869,2ND AVENUE                  ,             ,               ,NEW YORK          ,NY,10029,0,"1869 2ND AVENUE
NEW YORK, NY 10029
(40.78452, -73.946887)",0101000020E61000003F3709E59A7C52C004F77DE468644440,Manhattan,
Bronx,713480,Store,JAC   ,RAY DELI FOOD CORP               ,RAY DELI FOOD          ,4048,WHITE PLAINS RD             ,             ,               ,BRONX             ,NY,10466,0,"4048 WHITE PLAINS RD
BRONX, NY 10466
(40.889931, -73.859308)",0101000020E6100000C2E5658FFF7652C0F8F85A91E5714440,Bronx,
Kings,730849,Store,JAC   ,BROOKLYN GROCERY & SMOKE SHOP    ,BROOKLYN GROCERY & SMOK,1395,NOSTRAND AVE                ,             ,               ,BROOKLYN          ,NY,11226,0,"1395 NOSTRAND AVE
BROOKLYN, NY 11226
(40.652342, -73.949728)",0101000020E61000004B304B6DC87C52C09FB61A1682534440,Brooklyn,
New York,629193,Store,A     ,DUANE READE ET AL PTRS           ,DUANE READE 14487      ,1550,THIRD AVE                   ,             ,               ,NEW YORK          ,NY,10128,0,"1550 THIRD AVE
NEW YORK, NY 10128
(40.779681, -73.953343)",0101000020E61000009B62BE16057D52C0553D9DCAC9634440,Manhattan,
New York,719294,Store,JAC   ,SAMMY DELI CORP                  ,SAMMY DELI             ,120,NAGLE AVE                    ,             ,               ,NEW YORK          ,NY,10040,0,"120 NAGLE AVE
NEW YORK, NY 10040
(40.860875, -73.926713)",0101000020E61000004B3F3DCB4E7B52C07490DFF4316E4440,Manhattan,
New York,628245,Store,JAC   ,GOURMET 157 CORP                 ,GOURMET 157            ,157,CHRISTOPHER ST               ,             ,               ,NEW YORK          ,NY,10014,0,"157 CHRISTOPHER ST
NEW YORK, NY 10014
(40.732745, -74.008168)",0101000020E61000007184E3F6868052C01E651102CA5D4440,Manhattan,
Kings,727788,Store,JAC   ,FRESH FISH N GRILL INC           ,KALOR OL OF SI         ,1280,43RD ST                     ,             ,               ,BROOKLYN          ,NY,11219,0,"1280 43RD ST
BROOKLYN, NY 11219
(40.638631, -73.989019)",0101000020E61000005C3990B94F7F52C079F5ED85C2514440,Brooklyn,
New York,717075,Store,JAC   ,MOES 1 GOURMET DELI CORP         ,MOES 1 GOURMET DELI    ,2738,FREDERICK DOUGLASS BLVD     ,             ,               ,NEW YORK          ,NY,10039,0,"2738 FREDERICK DOUGLASS BLVD
NEW YORK, NY 10039
(40.8232, -73.941661)",0101000020E610000019D76B7E447C52C06FE87EAE5C694440,Manhattan,
Bronx,733519,Store,A     ,DOLLAR JACKPOT OF WESTCHESTER INC,DOLLAR JACKPOT OF WESTC,899,WESTCHESTER AVE              ,             ,               ,BRONX             ,NY,10459,0,"899 WESTCHESTER AVE
BRONX, NY 10459
(40.820701, -73.899643)",0101000020E6100000B595069A897952C08F97DC8A17694440,Bronx,
Kings,724378,Store,JAC   ,DEVPOOJA DELI GROCERY INC        ,DEVPOOJA DELI GROCERY  ,336,BUTLER STREET                ,             ,               ,BROOKLYN          ,NY,11217,0,"336 BUTLER STREET
BROOKLYN, NY 11217
(40.680074, -73.981642)",0101000020E610000010A5B72CD87E52C0E806E43D10574440,Brooklyn,
Queens,728723,Store,JAC   ,MARY'S GROCERY AND TAQUERIA INC  ,MARY'S GROCERY AND TAQU,12-13,ASTORIA BLVD               ,             ,               ,ASTORIA           ,NY,11102,0,"12 13 ASTORIA BLVD
ASTORIA, NY 11102
(40.774019, -73.936831)",0101000020E6100000DAFE8545847B52C0E4734409D5624440,Queens,
New York,715793,Store,JAC   ,2922 DELI FOOD INC               ,2922 DELI FOOD         ,2922,FREDERICK DOUGLAS BLVD      ,             ,               ,NEW YORK          ,NY,10039,0,"2922 FREDERICK DOUGLAS BLVD
NEW YORK, NY 10039
(40.828879, -73.937509)",0101000020E610000030D8E37FFF7B52C09865F1D9186A4440,Manhattan,
Richmond,641490,Store,JAC   ,JERSEY ST FOOD CORP              ,JERSEY ST FOOD         ,376,JERSEY ST                    ,             ,               ,STATEN ISLAND     ,NY,10301,0,"376 JERSEY ST
STATEN ISLAND, NY 10301
(40.639238, -74.08738)",0101000020E6100000202C3177978552C0E2CD1BE1D4514440,Staten Island,
New York,629198,Store,A     ,DOLLAR TREE STORES INC           ,DOLLAR TREE # 4695     ,4469,BROADWAY                    ,             ,               ,NEW YORK          ,NY,10040,0,"4469 BROADWAY
NEW YORK, NY 10040
(40.857255, -73.93236)",0101000020E61000004AEDD7F2A97B52C089F01577C16D4440,Manhattan,
Queens,713159,Store,JAC   ,CHEF V LLC                       ,CHEF V                 ,23-23,BORDEN AVE                 ,             ,               ,LONG ISLAND CITY  ,NY,11101,0,"23 23 BORDEN AVE
LONG ISLAND CITY, NY 11101
(40.742192, -73.95885)",0101000020E6100000E67C5F429F7C52C0013BEF29B65E4440,Queens,
New York,726919,Store,JAC   ,NEW MY MY INC                    ,NEW MY MY              ,249,GRAND ST                     ,             ,               ,NEW YORK          ,NY,10002,0,"249 GRAND ST
NEW YORK, NY 10002
(40.718228, -73.994064)",0101000020E61000007C9A2431A07F52C0D7EAF237EF5B4440,Manhattan,
Bronx,733326,Store,A     ,WALTON CONVENIENCE STORE CORP    ,WALTON CONVENIENCE STOR,68,E 174TH STREET                ,             ,               ,BRONX             ,NY,10452,0,"68 E 174TH STREET
BRONX, NY 10452
(40.844708, -73.912162)",0101000020E61000004D4FD015697A52C0CE2F7DC1246C4440,Bronx,
New York,724757,Store,JAC   ,HEALTHY MARKET PLACE CORP        ,HEALTHY MARKET PLACE   ,217,FIRST AVENUE                 ,             ,               ,NEW YORK          ,NY,10003,0,"217 FIRST AVENUE
NEW YORK, NY 10003
(40.730572, -73.983168)",0101000020E6100000CDD995EEEB7E52C07757BB03835D4440,Manhattan,
Bronx,733405,Store,JAC   ,ELAINIE DELI GROCERY CORP        ,ELAINIE DELI GROCERY   ,2085,VALENTINE AVENUE            ,             ,               ,BRONX             ,NY,10457,0,"2085 VALENTINE AVENUE
BRONX, NY 10457
(40.852821, -73.89987)",0101000020E610000048792FBC977952C06E04DE98296D4440,Bronx,
Kings,721446,Store,JAC   ,NODE BAGELS & DELI INC           ,NODE BAGELS & DELI     ,2002,BAY RIDGE PKWY              ,             ,               ,BROOKLYN          ,NY,11204,0,"2002 BAY RIDGE PKWY
BROOKLYN, NY 11204
(40.610752, -73.991609)",0101000020E6100000DD1A4D38787F52C02F2464BF2E4E4440,Brooklyn,
Kings,727982,Store,A     ,WEST NY 2 INC                    ,WEST NY 2              ,1425,NOSTRAND AVENUE             ,             ,               ,BROOKLYN          ,NY,11226,0,"1425 NOSTRAND AVENUE
BROOKLYN, NY 11226
(40.651456, -73.949639)",0101000020E61000000474FDC8C67C52C0B67951AF63534440,Brooklyn,
Richmond,703308,Store,JAC   ,FOREST AVE HALAL MEAT INC        ,FOREST AVE HALAL MEAT  ,1787B,FOREST AVE                 ,             ,               ,STATEN ISLAND     ,NY,10303,0,"1787B FOREST AVE
STATEN ISLAND, NY 10303
(40.625122, -74.14841)",0101000020E6100000E5100E497F8952C046575B8D02504440,Staten Island,
Kings,719260,Store,JAC   ,STOP & SHOP SUPERMARKET COMPANY L,STOP & SHOP #2586      ,625,ATLANTIC AVE                 ,             ,               ,BROOKLYN          ,NY,11217,0,"625 ATLANTIC AVE
BROOKLYN, NY 11217
(40.683159, -73.974094)",0101000020E61000007FB97A7C707E52C01A8AB6807B574440,Brooklyn,
Kings,706016,Store,JAC   ,AMY SMOKE SHOP CORP              ,AMY SMOKE SHOP         ,1563,FLATBUSH AVE                ,             ,               ,BROOKLYN          ,NY,11210,0,"1563 FLATBUSH AVE
BROOKLYN, NY 11210
(40.632813, -73.947635)",0101000020E61000001091492FA27C52C01D31854EF9504440,Brooklyn,
Kings,735302,Store,JAC   ,BUMBI MINI MARKET CORP           ,BUMBI MINI MARKET      ,161,UTICA AVE                    ,             ,               ,BROOKLYN          ,NY,11213,0,"161 UTICA AVE
BROOKLYN, NY 11213
(40.673428, -73.930684)",0101000020E61000005A4A9902907B52C0AFC50A9934564440,Brooklyn,
Kings,734957,Store,A     ,LA MORENITA FRUIT MARKET CORP    ,LA MORENITA FRUIT MARKE,4807,5TH AVENUE                  ,             ,               ,BROOKLYN          ,NY,11220,0,"4807 5TH AVENUE
BROOKLYN, NY 11220
(40.645988, -74.009413)",0101000020E6100000F3E1BCAC978052C0D6FCE7D6B3524440,Brooklyn,
Kings,733204,Store,JAC   ,ST FLEUR MARIE AUDENCILE         ,FLATBUSH CATON MARKET  ,2184,CLARENDON ROAD              ,             ,               ,BROOKLYN          ,NY,11226,20,"2184 CLARENDON ROAD
BROOKLYN, NY 11226
(40.642755, -73.956713)",0101000020E6100000E55FF2173F7D52C0B62CD0C744524440,Brooklyn,
Bronx,723624,Store,JAC   ,MELVIN DELI GROCERY LLC          ,MELVIN DELI GROCERY    ,2085,VALENTINE AVENUE            ,             ,               ,BRONX             ,NY,10457,0,"2085 VALENTINE AVENUE
BRONX, NY 10457
(40.852821, -73.89987)",0101000020E610000048792FBC977952C06E04DE98296D4440,Bronx,
New York,727710,Store,JAC   ,FRESH KIM LLC                    ,FRESH KIM              ,2116,3RD AVE                     ,             ,               ,NEW YORK          ,NY,10029,0,"2116 3RD AVE
NEW YORK, NY 10029
(40.797713, -73.9402)",0101000020E6100000BA17F63D2C7C52C0586D128D1B664440,Manhattan,
Kings,711640,Store,JAC   ,MANGO KING FARMERS MARKET CORP   ,JS FLATBUSH FARM       ,1124,FLATBUSH AVE                ,             ,               ,BROOKLYN          ,NY,11226,0,"1124 FLATBUSH AVE
BROOKLYN, NY 11226
(40.643019, -73.957709)",0101000020E6100000AD63A96D4B7D52C0234BA56151524440,Brooklyn,
Bronx,726831,Store,JAC   ,24 HOUR FOOD MART INC            ,24 HOUR FOOD MART      ,156,W 166TH STREET               ,             ,               ,BRONX             ,NY,10452,0,"156 W 166TH STREET
BRONX, NY 10452
(40.835715, -73.928139)",0101000020E61000008AAF996C6A7B52C073ADB8DFFA6A4440,Bronx,
Bronx,727918,Store,A     ,MARLY GROCERY CORP               ,MARLY GROCERY          ,4238,WHITE PLAINS RD             ,             ,               ,BRONX             ,NY,10466,0,"4238 WHITE PLAINS RD
BRONX, NY 10466
(40.894502, -73.856778)",0101000020E6100000C818CF8CD47652C0D1DAEBDF80724440,Bronx,
Kings,728803,Store,JAC   ,FRIENDLY NEIGHBORHOOD MINI MART C,FRIENDLY NEIGHBORHOOD M,1144,HALSEY STREET         ,             ,               ,BROOKLYN          ,NY,11207,0,"1144 HALSEY STREET
BROOKLYN, NY 11207
(40.690194, -73.910828)",0101000020E6100000C07F10144A7A52C05224DAF459584440,Brooklyn,
Bronx,607745,Store,A     ,DUANE READE ET AL PTRS           ,DUANE READE 14150      ,941,SOUTHERN BLVD                ,             ,               ,BRONX             ,NY,10459,0,"941 SOUTHERN BLVD
BRONX, NY 10459
(40.821337, -73.891642)",0101000020E6100000D2D3A59A107952C0B4F342A919694440,Bronx,
Kings,707465,Store,JAC   ,PITKIN AVENUE DELI & GROCERY CORP,PITKIN AVENUE DELI & GR,1801,PITKIN AVE                  ,             ,               ,BROOKLYN          ,NY,11212,0,"1801 PITKIN AVE
BROOKLYN, NY 11212
(40.670319, -73.906454)",0101000020E610000025B783E0037A52C06788153CCD554440,Brooklyn,
New York,731930,Store,JAC   ,SALAM DELI GROCERY INC           ,SALAM DELI GROCERY     ,500,W 157TH STREET               ,             ,               ,NEW YORK          ,NY,10032,0,"500 W 157TH STREET
NEW YORK, NY 10032
(40.832989, -73.942336)",0101000020E61000002291153F4F7C52C053768A369F6A4440,Manhattan,
New York,727928,Store,JAC   ,GOURMET DELI HOT & COLD FOOD PLUS,GOURMET DELI HOT & COLD,210,PINEHURST AVE #212       ,             ,               ,NEW YORK          ,NY,10033,0,"210 PINEHURST AVE
NEW YORK, NY 10033
(40.855195, -73.937873)",0101000020E6100000000378BC067C52C04D53B73B736D4440,Manhattan,
Kings,714882,Store,JAC   ,OCEAN BROTHERS DELI&GRILL INC    ,OCEAN BROTHERS DELI&GRI,392,NEPTUNE AVE                  ,             ,               ,BROOKLYN          ,NY,11235,0,"392 NEPTUNE AVE
BROOKLYN, NY 11235
(40.580446, -73.967054)",0101000020E610000020EBBBB8E37D52C097EB7EA84C4A4440,Brooklyn,
New York,723646,Store,A     ,JUICE PRESS LLC THE              ,THE JUICE PRESS EQ1    ,203,E 92ND STREET                ,             ,               ,NEW YORK          ,NY,10128,0,"203 E 92ND STREET
NEW YORK, NY 10128
(40.782449, -73.95075)",0101000020E61000005CC7245ADC7C52C0A45D3C2C2A644440,Manhattan,
New York,731675,Store,A     ,PIER MARKET PLACE INC            ,PIER MARKET PLACE      ,682,11TH AVENUE            ,             ,               ,NEW YORK          ,NY,10019,0,"682 11TH AVENUE
NEW YORK, NY 10019
(40.765134, -73.995106)",0101000020E61000007509E172B07F52C087397D90F0614440,Manhattan,
New York,726729,Store,JAC   ,7 ELEVEN INC                     ,7 ELEVEN STORE #35522K ,600,COLUMBUS AVE                 ,             ,               ,NEW YORK          ,NY,10024,0,"600 COLUMBUS AVE
NEW YORK, NY 10024
(40.788591, -73.970637)",0101000020E610000052A17E7B257E52C07511B854F2644440,Manhattan,
Kings,610708,Store,JAC   ,DOWNTOWN GOURMET INC             ,DOWNTOWN GOURMET       ,68,BOND ST                       ,             ,               ,BROOKLYN          ,NY,11217,0,"68 BOND ST
BROOKLYN, NY 11217
(40.687687, -73.98432)",0101000020E61000008EC0B599FE7E52C02EB31EF307584440,Brooklyn,
Bronx,730494,Store,A     ,DOLGENCORP OF NEW YORK INC       ,DOLLAR GENERAL STORE #1,528,JACKSON AVE                  ,             ,               ,BRONX             ,NY,10455,0,"528 JACKSON AVE
BRONX, NY 10455
(40.812638, -73.909293)",0101000020E61000007E72ED33327A52C03F990C3101684440,Bronx,
Bronx,704092,Store,JAC   ,BX METRO SUPERETTE CORP          ,BX METRO SUPERETTE     ,3504,FORT INDEPENDENCE ST        ,             ,               ,BRONX             ,NY,10463,0,"3504 FORT INDEPENDENCE ST
BRONX, NY 10463
(40.88252, -73.89803)",0101000020E6100000B227215B7D7952C09CA6A7FDEA704440,Bronx,
New York,730402,Store,JAC   ,GEN 2 ENTERPRISES INC            ,7 ELEVEN STORE # 39875A,589,8TH AVE                  ,             ,               ,NEW YORK          ,NY,10018,0,"589 8TH AVE
NEW YORK, NY 10018
(40.755207, -73.991284)",0101000020E610000088BE82C6717F52C0059410E8A8604440,Manhattan,
Bronx,718849,Store,JAC   ,BEST DELI AND GRILL III CORP     ,BEST DELI AND GRILL III,1033,CASTLE HILL AVE         ,             ,               ,BRONX             ,NY,10472,0,"1033 CASTLE HILL AVE
BRONX, NY 10472
(40.828443, -73.850223)",0101000020E61000004800446C6A7652C0AD60936D0B6A4440,Bronx,
Bronx,719125,Store,JAC   ,LA POTENCIA DELI GROCERY STORE CO,LA POTENCIA DELI GROCER,320,E 167TH STREET               ,             ,               ,BRONX             ,NY,10456,0,"320 E 167TH STREET
BRONX, NY 10456
(40.831202, -73.913223)",0101000020E61000007B1A9204717A52C0AD73FAE4626A4440,Bronx,
Bronx,718346,Store,JAC   ,SAMS DELI &  SNAK CORPRATION     ,SAMS DELI & SNAK       ,1498,WESTCHESTER AVE             ,             ,               ,BRONX             ,NY,10472,0,"1498 WESTCHESTER AVE
BRONX, NY 10472
(40.828477, -73.880382)",0101000020E61000008265BA09567852C0868A8B090C6A4440,Bronx,
Queens,671362,Store,JAC   ,BENGOL FOOD INC                  ,BENGOL FOOD            ,38-25,GREENPOINT AVE             ,             ,               ,LONG ISLAND CITY  ,NY,11101,0,"38 25 GREENPOINT AVE
LONG ISLAND CITY, NY 11101
",0101000020E6100000771C5FF45E7B52C0E7987E11855E4440,Queens,
Bronx,720597,Store,JAC   ,676 EAST GROCERY CORP            ,676 EAST GROCERY       ,676,E 180TH ST                   ,             ,               ,BRONX             ,NY,10457,0,"676 E 180TH ST
BRONX, NY 10457
(40.848385, -73.889333)",0101000020E610000032FDE192EB7852C0CF8F2C08986C4440,Bronx,
Queens,717386,Store,A     ,LINDO BEBE INC                   ,LINDO BEBE             ,93-05,ROOSEVELT AVE              ,             ,               ,JACKSON HEIGHTS   ,NY,11372,0,"93 05 ROOSEVELT AVE
JACKSON HEIGHTS, NY 11372
",0101000020E6100000090F7873E87752C0529DC8B3D65F4440,Queens,
Richmond,641198,Store,JACK  ,BAY STREET FOOD DISTRIBUTORS INC ,TOP TOMATO #5          ,1071,BAY ST                      ,             ,               ,STATEN ISLAND     ,NY,10305,0,"1071 BAY ST
STATEN ISLAND, NY 10305
(40.617189, -74.068414)",0101000020E61000007C7D65515C8452C01F207BE0F34E4440,Staten Island,
Bronx,734012,Store,JAC   ,DMILTON JUICE BAR & MORE CORP    ,DMILTON JUICE BAR & MOR,1106,WESTCHESTER AVE         ,             ,               ,BRONX             ,NY,10459,0,"1106 WESTCHESTER AVE
BRONX, NY 10459
(40.825431, -73.890431)",0101000020E61000002D7DA78BFD7852C0E6A13A8FA6694440,Bronx,
